index,ocupacion,clasificacion-oit
118,brigadista forestal,54
119,jefe de operaciones,13
120,operario produccion,93
121,analista de conservacion,26
122,asistente,41
123,ejecutiva de ventas,12
124,reponedor,52
125,aseadora,91
126,ayudante de carga,93
127,encargado maquinaria,81
128,auxiliar aseo,91
129,aseo,91
130,tec en aplicaciones,35
131,auxiliar de cocina,94
132,supervisora,12
133,maestro,23
134,conductor grua,83
135,conserje,91
136,maestro de terminaciones,75
137,control de gestion estadi,33
138,obrero agricola,92
139,atencion de publico,42
140,auxiliar de servicios,44
141,ayudante soldador,93
142,personal de aseo,91
143,panadero,75
144,estafeta administrativo,41
145,ayudante de produccion,93
146,ayudante en obras,93
147,vendedora,52
148,asistente de geologo,31
149,prevencionista de riesgos,24
150,aux dietetica,53
151,operario especialista,75
152,operador de grua,83
153,cangero,53
154,supervisor de produccion,13
155,operador de maquinaria,81
156,enfermera,32
157,filetera,93
158,peoneta,93
159,camarero,51
160,ayudante de electrico,93
161,ayudante mecanico,72
162,logistica pesaje camiones,93
163,brigadista,54
164,tens en area respiratoria,32
165,soldador,72
166,operador logistico,41
167,tecnico en parvulos,36
168,funcionario publico,44
169,auxiliar,44
170,maestro soldador,72
171,medica,22
172,maestro carpitero,73
173,jefe de cocina,94
174,administrador de contrato,24
175,chofer de carga,83
176,inspectora,54
177,ayudante de planta,93
178,tutora,23
179,monitora,53
180,capataz,93
181,cargador,93
182,planta administ municip,41
183,mestro albañil,71
184,embalador,96
185,jefe de centro,14
186,mantencion areas verdes,92
187,tecnico electrico,31
188,tecnico en enfermeria,32
189,varios,96
190,supervisor de patio,44
191,jefe de ventas agricolas,12
192,conductor 1530,83
193,operador maquinaria,81
194,maestro mayor,23
195,mercaderista,52
196,supervisor de turno,13
197,garzona,51
198,conductor y peoneta,83
199,seleccionadora,44
200,especialista en aseo,91
201,abogado,26
202,docente,23
203,auxiliar limpieza,91
204,administrador,24
205,despachador,42
206,asistente ed especial,36
207,profesora,23
208,encargado sucursal,12
209,sicopedagoga,23
210,educadora de parvulos,23
211,asistente de bichual,96
212,auxiliar de bodega,44
213,tenns,34
214,limpieza de vidrio en alt,91
215,guardaparque,54
216,aux aseo,91
217,maestro mecanico,72
218,educadora parvularia,23
219,sub gerente operaciones,13
220,tecnico electromecanico,31
221,auxiliar de servicios bas,41
222,tecnico laminador,72
223,bodeguero,43
224,asesora de compra,42
225,gestor de licitaciones,33
226,ayudante electricista,71
227,administrativa,41
228,tecparvulo,36
229,promotor,52
230,educadora diferencial,23
231,asociada,26
232,auxiliar de servicio,44
233,educadora de parvulo,23
234,ayudante pastelero,94
235,medico,22
236,operario huincha,93
237,bodegero,42
238,encargada de rsh,33
239,operario logistico,93
240,recolectora de datos,44
241,tens nato oncologia,32
242,mecanico mantencion,72
243,analista contable,33
244,prevensionista,54
245,ayudante electromecanico,93
246,asistente de parvulo,36
247,asistente de cocina,94
248,psicopedagoga,23
249,aux mantenimiento,91
250,ed de parvulo,23
251,mestro linea energizada,71
252,asesora de ventas,52
253,maestro andamio,71
254,aseador,91
255,encargada comercio exteri,24
256,asistente de aula,36
257,operador caldera,81
258,jefe de campo,14
259,agente educativa,23
260,asistente de paciente,53
261,inspector general,54
262,directora,12
263,tecnico mantenimiento,31
264,gasfiter,71
265,ejec de venta en terreno,52
266,educadora,23
267,movilizador,34
268,axiliar de servicios,44
269,vendedor en terreno,52
270,operaria de paking,96
271,asistente administrativo,41
272,packing,93
273,secretaria de rectoria,41
274,garzon,51
275,bodeguera cajera,42
276,encarga de area,12
277,asosor,24
278,asistente de reparto,93
279,conductor de camion,83
280,guardia de seguridad mari,54
281,tec en enfermeria,32
282,asistente social,26
283,planificadora de medios,24
284,profesora diferencial,23
285,gerente y representante,11
286,asistente de ventas,52
287,pabellonero,51
288,radio operador,34
289,inventario,43
290,supervisor de caja,12
291,tecnico asistente parvulo,36
292,operador terreno,93
293,asistente de rrhh,44
294,auxiliar administrativo,41
295,motoserrista,92
296,bodeguero y chofer,83
297,revisadora,44
298,operador de maquina,81
299,motocierrista,62
300,ejecutiva,11
301,ayudante de operador,93
302,tec toma de muestra,32
303,encargada de vivero buin,61
304,operador maquinaria pesad,83
305,no se lo sabe,no puedo clasificar la ocupación "no se lo sabe" en la clasificación de la oit.
306,conductor de carga pesada,83
307,conductor operador,83
308,rotisera,94
309,oficial cuarto,91
310,mecanico a,72
311,cocinera,51
312,tec enfermeria,32
313,cirujano dentista,22
314,policia de aseo,91
315,repartidora y atencion cl,42
316,recepcionista,42
317,coordinadora de casa,14
318,orientadora,23
319,analista b,33
320,op agricola,61
321,asistente de aula y furgo,36
322,instalador electrico,71
323,trabajadora social,26
324,recepcion,42
325,tractorista,93
326,inpsectora de patio,54
327,adm sistema transporte,24
328,maestro andamiero,71
329,vigilante,54
330,encargada de local,14
331,maestro tabiquero,71
332,carnicero,75
333,cartero,42
334,maestro termograsfista,73
335,descargador de camion,93
336,prevencion de perdidas,54
337,operarioo,81
338,jefe tecnico,12
339,administrador de supermer,14
340,maestro de obra,71
341,asistente de educacion,36
342,mantencion de maquinaria,72
343,auxiliar de sala,53
344,m2 obras civiles,71
345,maestra cocina,23
346,ayudante de cafeteria,94
347,maestro obras civiles,71
348,ayudante de maquina,93
349,enfermero clinico,22
350,jefe de personal,12
351,mant y rep de sombrero,73
352,operario agricola,92
353,encargada de laboratorio,31
354,ayud soldador,93
355,bibliotecaria,26
356,maestro terminaciones,93
357,tripulante de nave,83
358,condcutor de reparto,83
359,jefe servicios generales,12
360,tecnico educparvulos,36
361,no aporta datos,44
362,ayudante de reposteria,94
363,campero,92
364,fiambreria,52
365,trabajador de temporada,92
366,psicologa,22
367,peoneta recolector,96
368,tecnico en parvulo,36
369,cortador,75
370,corrdinador de marketing,24
371,auxiliar de limpieza,91
372,quincallero,52
373,auxiliar de patio,96
374,ingeniero de proyecto y l,21
375,operador grua,83
376,operario maquina,81
377,jefa de lengua,23
378,operadora partime,96
379,otros,96
380,asistente control de cali,81
381,tirador,54
382,auxiliar de laboratorio,33
383,auxiliar de enfermeria,32
384,encargado de cocina,94
385,fonoaudiologa,22
386,control de inventario,43
387,manipuladora alimentos,94
388,profesor,23
389,maestro panadero,75
390,recibidor de huincha,93
391,chefs,51
392,operaria de higiene,91
393,trabajador,93
394,patron nave menor,62
395,asistente de la educacion,36
396,cajero,42
397,inspectora educacional,24
398,coordinadora financiera,12
399,maestro de primera,23
400,jefa de tienda,12
401,operadora de packing,81
402,jefa de gestion social,13
403,primer oficial papeleria,52
404,maestra de cocina,51
405,asesor integral,24
406,operario de planta,81
407,faena,96
408,asistente de visual,34
409,colocador de royos,93
410,maestro quesero,75
411,dueño de empresa,11
412,rigger,93
413,maestro mayo,23
414,vendedora y reponedora,52
415,delegada,12
416,asistente de sala,53
417,tec en parvulos,36
418,jefe obra,13
419,sushero,94
420,jornal agricola,92
421,operaria agricola,92
422,tripulante,54
423,administrativo logistico,41
424,operador general,81
425,terapeuta,22
426,control de calidad,31
427,maestro minero,93
428,pizzera,94
429,ejecutiva de reclamo,12
430,psicologo pie,22
431,profesora asistente,23
432,encargada de hospital,12
433,tec trabajo social,34
434,staff,44
435,tecnico enfermeria,32
436,encargada de area,12
437,asistente ventas,52
438,enc despacho,41
439,operario junior,93
440,op de grua,83
441,coperia,91
442,enfermera tratante,22
443,auxiliar de casino,44
444,anfitrion,51
445,maestro gasfiter,71
446,mantenimiento,96
447,manipuladora de alimentos,75
448,seleccion,52
449,corralero,61
450,vigilante privado,54
451,asistente de centro,53
452,asistente ejecutiva,44
453,matrona,22
454,tecnico aires acondiciona,31
455,operaria paking,93
456,auxiliar de recoleccion,96
457,pulidor,93
458,servicio al cliente,42
459,operador de maquinas,81
460,embalaje,96
461,mucama,91
462,contadora,24
463,analista de control calid,31
464,mostrero,44
465,tecnico en administracion,33
466,supervisor de terreno,93
467,profesora ingles,23
468,produccion,13
469,ayudante pastelera,94
470,enfermera clinica pad,32
471,maquinista,83
472,admisionista asch,42
473,maestro albañil,71
474,auxiliar dietetica,32
475,asistente logistico,44
476,jardinero,92
477,obrero,93
478,jefe de terreno,13
479,ayudante maestro,36
480,coordinador de carrera,23
481,empleado,42
482,coordinador de deportes,34
483,informatica y soporte,35
484,buzo comercial,96
485,jefe de bodega,11
486,asistente dental,32
487,operario de caldera,81
488,limpieza,91
489,educador de trato directo,36
490,conductores de camiones p,83
491,encargada cocina,51
492,multifuncional,44
493,ejecutiva de exportacion,12
494,albañil,71
495,operaria de bodega,93
496,promotora,52
497,ingeniero proyecto,21
498,maestro de cocina,51
499,inspector fiscal,34
500,aux apoyo,44
501,ingeniero electrico,21
502,encargado de rodillo,81
503,tecnico instalador,31
504,visual,96
505,ayudante electrico,71
506,ejecutivo de ventas,24
507,auxiliar de mantencion,41
508,encerador,94
509,asistente operaciones,34
510,director medico,22
511,ductero,72
512,repartidor,83
513,encargado mantencion,71
514,asistente de parvulos,36
515,operadro mina,93
516,tec mecanico,31
517,tecnico en terreno,31
518,titular,11
519,mantencion aseo,91
520,segundo de patio,91
521,supervisor de terrero,14
522,selecionador de madera,72
523,asistente de cartero,42
524,asistente de faena agrico,63
525,kinesiologo,22
526,jefe de la barra,14
527,atleta,75
528,empaquetador,82
529,maestro de segunda,23
530,secretaria de antropologi,41
531,capataz del campo,61
532,diseñadora grafica,73
533,secretaria administrativa,41
534,auxiliar de roperia,91
535,representante de campo,41
536,sub jefe,11
537,asistente judicial,34
538,operario multifuncional,71
539,jefe operaciones,13
540,maestro de descimbrado,71
541,quimico farmaceutico,21
542,preventa,52
543,maestro primera,23
544,analista de laboratorio,31
545,ayudante cocina,94
546,adquisiciones,24
547,facilitadora linguistica,34
548,mecanico de cinta,72
549,asociados,24
550,ingeniero terreno,21
551,supervisor tecnico,31
552,bordado,73
553,aforista,26
554,coordinadora boleteria,42
555,topografo,21
556,regador,61
557,tens en farmacia,32
558,jefe de taller,14
559,encargada administrativa,33
560,operador de maq pesada,83
561,profesora de teatro,23
562,asistente aseos menores,91
563,analista tesoreria,33
564,aseo en las calles,96
565,auxilair de servicio,41
566,ayudante de maestro,36
567,encagado de linea,31
568,conductor de retroescabad,83
569,enc de rentas y patentes,33
570,jefa,11
571,tec electromecanico,31
572,manipuladora de algas,92
573,reparador,72
574,mantencion de canchas,92
575,operario taller,72
576,traspaletero,92
577,lavandera,96
578,analista,24
579,movilizador estibador,93
580,guardia de seguiridad,54
581,asesora de compras,24
582,tec parvulos,36
583,inspectora de terreno,21
584,enfermera upc,32
585,cuidador,53
586,maestro enfierrador,72
587,vendedor call center,52
588,operador de maquina pesad,83
589,encargada de rrhh,24
590,director operativo,13
591,podologa,22
592,tornero,72
593,canillero,95
594,analista de calidad,21
595,ejecutiva admision,41
596,educadora de parvulos dir,23
597,bonbero,54
598,movilizador y cargador,83
599,tecnico,31
600,asistente de operador,82
601,jefa de linea,13
602,asociado,por favor, envíame la ocupación que deseas clasificar.
603,cajera comercial,42
604,tecnico especialista meca,31
605,jefe de area,11
606,barista,52
607,profesor asistente,23
608,mecanico tornero,72
609,jefe de grupo,11
610,encargado,41
611,tenc en esterilizacion,32
612,empalmero,92
613,secretaria recepcionista,41
614,parquimetro,42
615,operaria bodega,91
616,jefe produccion,13
617,auxiliar recolector,96
618,asistente contable,43
619,coordinador de operacione,13
620,jefe de sala,14
621,educador trato directo,23
622,maestra carnicera,74
623,fiambrera cajera,52
624,educadora parvulos,23
625,buzo,62
626,ingeniero de sistema,21
627,docente pie,23
628,asistente de laboratorio,31
629,ventas,52
630,analista de costos,24
631,motosierrista,62
632,servisios generales,44
633,actor,34
634,jornal aseo,91
635,ayudante mantencion,91
636,asistente de venta y bode,52
637,soporte administrativo,44
638,vendedora fiambrera,52
639,analista planificacion,24
640,analista de finanzas,24
641,apoyo cyber,25
642,geologo,21
643,tens de procedimiento,33
644,operario aseo calles,91
645,tecnico fusi,31
646,enfierrador,71
647,supervisora de poda,61
648,analista de recurso,24
649,abogada,26
650,inspector,34
651,ayudante forestal,62
652,op produccion,13
653,adminitrativa,41
654,estivador,93
655,seguridad aereo portuaria,54
656,operaria de fabricacion,75
657,tin,96
658,trabajadora de teporada,96
659,operadora,81
660,encargado de publicidad,24
661,lider y control calidad,13
662,capataz obra gruesa,71
663,experto coordinador,24
664,operador de camara de fri,81
665,xxxx,lo siento, no puedo ayudarte con eso. por favor, envíame la ocupación para clasificarla de acuerdo con la clasificación de la oit.
666,jefe de seguridad,54
667,ayudante pioneta,91
668,conductor de ambulancia,83
669,aministrativo,33
670,coordinador de turno,14
671,guardia seguridad,54
672,pizza,94
673,maestra de primera,23
674,conductor estafeta y ope,83
675,chef ejecutivo,14
676,inspector municipal,11
677,operador terreno secadora,81
678,apoyo profesional,34
679,jefe,11
680,ejecutiva de presupuestos,12
681,supervisor de cuadrilla,13
682,jefa servicios a personas,51
683,asistente de venta integr,52
684,monitora de aula,36
685,representante tiendas,52
686,cuidadora protectora,53
687,tecnico en climatizacion,31
688,mecanico soldador,72
689,maestra cuarto frio,71
690,agente de pasaje,42
691,mecanico de proyecto,21
692,lider de sala,14
693,nutricionista de producci,22
694,auxiliar servicios menore,42
695,facilitador de servicios,42
696,operador de parquimetro,42
697,maestro en mantenimiento,72
698,bodeguera,92
699,jefe de patio,14
700,maestro carrocero,72
701,asistente de bodega,41
702,operador de plancha,81
703,agente de ventas,52
704,operario de producion,93
705,analista quimica,21
706,maestro en mantencion,31
707,maquilladora,53
708,minero 2,93
709,encargado de deporte y co,34
710,asiste educacion,36
711,bucama,62
712,asesora,24
713,control linea,81
714,operario embalador,92
715,analistica de estadisticas rrhh,24
716,gestora de proyecto,24
717,jefe de control interno,12
718,lider academica en invest,23
719,mantenedor mecanico,72
720,administrador de campo,14
721,estibador de carga,93
722,inspectora basica,36
723,encuestadora,33
724,vendedora en terreno,52
725,enzunchador,72
726,cocedor,94
727,educ diferencial,23
728,jefa prevencion de riesgo,12
729,jefa de despacho,11
730,operador aplicador,81
731,gerente tecnico,13
732,operario bdega,71
733,tecinvestigacion,21
734,asisten vendedor,52
735,electricista de primera,72
736,profesora de lenguaje,23
737,finanzas,33
738,tecnico atencion parvulos,36
739,garzon barista,52
740,limpieza playa,91
741,llavera,91
742,ventas terreno,52
743,tens farmacia pabellon,32
744,ax de aseo,91
745,m 1 obras civiles,71
746,supervisor de buzo,83
747,maestro pinchador,72
748,teleoperador,41
749,encargado mant piscinas,91
750,vendedora integral,52
751,aseguramiento y control d,33
752,recolector de basura,96
753,ayudante de maestranza,91
754,asistente de limpieza,91
755,asistente educativa,36
756,asistente de ruta,83
757,gerente administrativa,12
758,cuidadora de trato direct,51
759,asistente de portales,41
760,tecnologo medico,32
761,asistente de gerencia,33
762,coordinadora logistica,24
763,tens de laboratorio,31
764,areas jardin,61
765,ayudante de trazador,31
766,atencion clientes,42
767,asistente de invt,34
768,apoyo profesional especia,24
769,tecnico c,31
770,trabajadr agricola,63
771,lavanderia,91
772,profesora media,23
773,medico especialista,22
774,auxiliar de parvulo,36
775,trabajadora agricola,61
776,m1 occ,41
777,jefe nivel,11
778,tecnico en anestesia,32
779,operador de caldera,81
780,auxiliar de tostacion,75
781,vigilancia,54
782,supervisor de ama de llav,44
783,guia canino,51
784,jefa de operaciones,13
785,staking,91
786,jefe de buffet,14
787,analista reclutamiento,24
788,directora obras municipal,11
789,jefe de barra,14
790,asesora curricular,23
791,conductor peoneta,83
792,recepcionadora de acopio,41
793,asesora de cliente,42
794,desabollador,72
795,tecnologa medica,32
796,operador de camaras,81
797,personal integral,51
798,mostro electrico,71
799,estibadora,93
800,hornero,63
801,aspirante a maestro,23
802,manipuladora de alimento,94
803,operario traspaleta elect,81
804,auiliar multifuncional,44
805,apicola,61
806,tapizador de muebles,75
807,medico junior,22
808,tecnico odontologico,32
809,encargado de local,42
810,dirigente sindical ejec c,11
811,cajera polifuncional,42
812,jardinera,61
813,seguridad,54
814,bartender,52
815,labores de matadero,92
816,mensajero,83
817,tecnico en montaje de neu,31
818,gestor territorial,24
819,asistente de patio,91
820,gerente comercial,12
821,operaria multifuncion,91
822,asistente recurso humanos,33
823,recolector muestra,96
824,paramedico,32
825,mantenedor,91
826,operador de prensa,81
827,riger,83
828,instrumentista,23
829,ingeniero de proyectos,21
830,m2 htpe,94
831,asistente parvulo,36
832,marketing,24
833,agente de banco,33
834,odontologo,22
835,maestro pintor,73
836,trabajador de conaf,62
837,soldador mecanico,72
838,copero,51
839,crew,83
840,prevencionista,21
841,pioneta lavador,91
842,auxiliar logistico,33
843,mecanico planta,72
844,asistente mecanico,72
845,ayudante instalador,81
846,preparador de vehiculos,82
847,asitente dental,32
848,arquitecto,21
849,analista de riesgo,24
850,maestra cosina,94
851,ingeniero,21
852,proyectista catastro,21
853,maestro en fierro,72
854,programa especial empleo,no puedo clasificar "programa especial empleo" porque no especifica una ocupación concreta. por favor proporciona ocupaciones específicas para su clasificación.
855,tecnico en odontologia,32
856,jefe de tienda,14
857,servicios agricolas,61
858,control de temparaturas,31
859,operaria de logistica,81
860,coordinador logistica,24
861,digitadora,41
862,maestro en aluminio,73
863,especialista en limpieza,91
864,coordinadora,24
865,enfermero,22
866,bodega,91
867,ejecutiva de venta,12
868,asist administrativa,41
869,auxiliar de higiene,91
870,planes de medios,24
871,jefe de local,12
872,dj en discoteque,92
873,calidad,96
874,operaciones,13
875,lector,23
876,maestro de obras,71
877,labores de fundo,63
878,asistente de calidad,33
879,vidriero,72
880,jefe de turno mantencion,13
881,jornalero,92
882,auxiliar de apoyo,44
883,auxiliar de recetario,32
884,picking,92
885,jefe rendiciones,33
886,prepara alimento,94
887,tripulante de cabina,81
888,portero,54
889,monitora de cuidado noctu,51
890,educadora parvulo,23
891,electromecanica,31
892,encargada area seguridad,54
893,experto prevencion de rig,21
894,asistente tecnico,31
895,embaladora,82
896,trabajo agricola,61
897,jefa de credito y cobranz,24
898,auxiliar de produccion,91
899,operario de vendimia,92
900,cuidadora,53
901,maestro 1ra minero,23
902,instalador,72
903,jefe de caja,33
904,encargada de sens,23
905,secretaria gerencia,41
906,encargado de camara,73
907,terapeuta ocupacional,22
908,asesor previsional,24
909,carrero,92
910,jefa de sala,14
911,funcionaria de notaria,26
912,brigadista combatiente,54
913,tecnico en educacion de p,36
914,asistente operativo,41
915,fiscalizador,33
916,soldador calificado,72
917,notificadora,23
918,maestro granallador,72
919,edicadora de parvulos,23
920,retirador,91
921,aux de higiene,51
922,asisitente quirurgico,32
923,asistente educacion,36
924,eeducadora diferencial,23
925,asistencia,51
926,profesora historia,23
927,tec en mantencion,31
928,manipulado alimentos,75
929,envasadora,75
930,soldador de hdpe,72
931,sellador,71
932,ayudante cortador,82
933,ingeniero en mantencion,31
934,cortador de pasto,96
935,atencion a publico,42
936,montaje ductos aire,71
937,encargada oficina coyhaiq,41
938,tecnico parvularia,36
939,jefe de utp,23
940,servicio al pasajero,42
941,profesora ed fisica,23
942,agente de recepcion,42
943,asistente laboratorio,31
944,tec servicios,35
945,digitador,41
946,carpintero andamiero,72
947,guarda fauna,51
948,guardia de seguridas,54
949,profesor de ed fisica,23
950,combatiendo,96
951,inspector educacional,23
952,tec en educ parvularia,36
953,tecnico en ed parvularia,36
954,yesera,92
955,mecanico mantenedor,72
956,supervisora regional ni,11
957,tecnico de aula,36
958,tecnico en diferencial,31
959,mecanico desabollador,72
960,operaria aseo,91
961,manip alimentos,94
962,guardia del colegio,54
963,encargada utp,23
964,encargada de aseo,91
965,operaria de sala,91
966,operador de mini cargadao,81
967,directora de carrera,11
968,ayudante de mecanico avan,72
969,maestro yesero,72
970,asistente despacho,44
971,operario de poduccion,93
972,enc bienestar agencia,51
973,coordinadora pie,36
974,profesora diferencia prog,23
975,tecnico especialista,31
976,paletizador,82
977,recaudador fiscal,33
978,asistente mantenimiento,44
979,op planta,81
980,supervisora de ventas,12
981,team operaciones,13
982,ayudante de maquina autom,82
983,asesor de ventas,52
984,op picking,82
985,vendedor post venta,52
986,agente educativo,23
987,ayudante de barra,51
988,biblotecaria,34
989,reclutadora de personal,24
990,call center,42
991,operario bodega,82
992,supervisor control de ca,13
993,capatas lider,63
994,labores aseo de camion le,91
995,lector de medidores,51
996,conductor ambulancia,83
997,trabajador manual,96
998,enfermera dialisis,32
999,cajera bancaria,42
1000,estafeta,42
1001,operario mantencion,71
1002,ayudante de reciclaje,96
1003,training de servicio,34
1004,auxiliar logistica,43
1005,mantencion y administraci,24
1006,tecnico multiproposito,31
1007,ejecutivo de cuentas,24
1008,anfitriona,14
1009,operador de televi,81
1010,jefe de produccion,13
1011,psicologa de convivencia,34
1012,auxiliar farmacia,32
1013,ayudante de pasteleria,93
1014,operador de riles,81
1015,gestor de ventas,24
1016,profesora de artes,23
1017,polvorin,73
1018,tec en atencion de parvu,36
1019,soporte informatico,25
1020,operario maquinaria agric,61
1021,tecnico diferencial,31
1022,operador empaquedator,81
1023,ayudante tecnico,33
1024,promotora vendedora,52
1025,mecanicos,72
1026,ayudante de soldador,72
1027,croupier,41
1028,nutricionista asesora,22
1029,asistente log]stica,41
1030,adm logistico,33
1031,operador de produccion,73
1032,operador de huincha,81
1033,motorista,83
1034,barredor,91
1035,piletera loza y cocina,94
1036,apilador electric logisti,81
1037,asistente bodega,41
1038,maestro de contruccion,71
1039,encargado de operaciones vuelo,31
1040,gasfiter maestro,71
1041,encargado de bodega,41
1042,despachador de base,33
1043,operarioi,71
1044,secetaria,41
1045,operaria packing,75
1046,supervisora de produccion,13
1047,jefa de cocina,94
1048,profesora guia taller,23
1049,atd,no puedo proporcionar una clasificación específica para "atd" sin más contexto sobre la ocupación a la que se refiere. por favor, proporciona una descripción más detallada de la ocupación o un nombre más claro para poder clasificarla adecuadamente.
1050,alimentacion,94
1051,pro empleo,24
1052,comunicacion audio visual,25
1053,bombero,54
1054,profesroa,23
1055,fiscal contralor,11
1056,copera,51
1057,operario de despacho,41
1058,profesora y coordinadora,23
1059,tecnico ed parvularia,36
1060,asistente en educacion,36
1061,agente servicio pasajero,42
1062,encargada de panaderia,75
1063,soldadora,72
1064,asistente de recetario,32
1065,encargada de grupo,11
1066,inspector de garita,54
1067,asist de parvulo,23
1068,supervisor operaciones,13
1069,ayudante de bodega,43
1070,auxiliar de farmacia,32
1071,coordinador cliente,33
1072,ejecutiva de televentas,12
1073,ayudante de perforacion,93
1074,encargado de convivencia,34
1075,paradocente,36
1076,coopera,51
1077,encargada conviviencia,23
1078,encargado area electricis,31
1079,docente ed diferencial,23
1080,tecdiferencial,31
1081,operario sala de venta,52
1082,soldador tic,72
1083,tecnico grado 9,31
1084,veterinaria,22
1085,tractorero y operario,61
1086,volante,83
1087,operario en sist de riego,71
1088,educador de trato,23
1089,lavado de bandejas,91
1090,servicios generales,44
1091,maestro mantencion,72
1092,tec electrico,31
1093,coordinadora laboral,24
1094,encargado de adq y mant,24
1095,operaria video vigilancia,54
1096,asist de atencion al clie,42
1097,maquinistas,83
1098,diseñador grafico,31
1099,supervisor de seguridad,54
1100,ordeñador,62
1101,asitente educacion,36
1102,asesor de venta integral,52
1103,supervisor operador tecni,81
1104,criud administracion,24
1105,monitora trato directo,42
1106,bombero servicentro,54
1107,analista de cuentas,33
1108,cuidador y mantencion,51
1109,supervisor de lector,41
1110,jefa de local,14
1111,ingeniro mecanico,21
1112,comunicadora corporativa,24
1113,cortador perforador,92
1114,corrubador,73
1115,bar tender,52
1116,administrador de local,12
1117,aplicador,91
1118,tec conductor,83
1119,minero primera,93
1120,operador planta,81
1121,encargado reparacion calz,73
1122,conductor despachador,83
1123,jefe de equipo,12
1124,envasador,75
1125,cot,22
1126,apoyo aseo,91
1127,retail manager,12
1128,pickeador,96
1129,profesora matematica,23
1130,coordinadora turno,41
1131,profesional de diferencia,24
1132,instructor de sky,34
1133,actuaria,21
1134,coordinadora de programa,24
1135,bombera,54
1136,operario de bodega multif,91
1137,tec en telecomunicaciones,25
1138,operario planta,81
1139,electrico mantenedor,31
1140,jefa de bodega,12
1141,tec mantenimiento,31
1142,supervisora comercial,12
1143,operario producion,93
1144,tecnico ed diferencial,36
1145,tecnico terreno,31
1146,maestro estuctural,72
1147,control de gestion,24
1148,agente de desarrollo,26
1149,liquidador,33
1150,carpintero de moldaje,72
1151,gurdia de seguridad,54
1152,electromecanico,31
1153,maestro liniero,31
1154,tens enfermeria,32
1155,aguador,96
1156,ejecutiva servicio al cli,42
1157,reciclaje,96
1158,operador de maquinaria ag,81
1159,conductor jornal,83
1160,apoyo socio laboral,34
1161,operador parquimetro,83
1162,subjefe de transporte,12
1163,pastelera,75
1164,jefe recursos humanos,12
1165,patrullera,54
1166,operador y mantencion,81
1167,auxiliar clinico,32
1168,consultora de belleza,53
1169,mantenimiento general,91
1170,diseñador industrial,21
1171,ejecutiva callcenter,12
1172,mayordomia,91
1173,aseo y limpieza,91
1174,promotora servicio,42
1175,ayudante de mecanico,72
1176,dietetica,22
1177,maestra electrica,31
1178,educador diferencial,23
1179,operario de mantencion,71
1180,jefe se sector,11
1181,profesional secprac,24
1182,coordinadora rrhh,24
1183,piloto,83
1184,dermatologo,22
